06/07 07:25:01 INFO naive.ReasonableBot|UNKNOWN Message Received: edu.umich.eecs.tac.props.AdvertiserInfo@bc795bfb
06/07 07:25:02 INFO naive.ReasonableBot|Day 0 :BankStatus[0.000000]
06/07 07:25:02 INFO naive.ReasonableBot|tau.tac.adx.report.demand.InitialCampaignMessage[820198133,1250,1,5,[MALE, YOUNG],2.0,1.5,demand,[]]
06/07 07:25:02 INFO naive.ReasonableBot|Day 0: Allocated campaign - Campaign ID 820198133: day 1 to 5 [MALE, YOUNG], reach: 1250 coefs: (v=2.0, m=1.5)
06/07 07:25:02 INFO naive.ReasonableBot|Day 0: Campaign opportunity - Campaign ID 719340043: day 2 to 4 [OLD, HIGH_INCOME], reach: 5000 coefs: (v=2.0, m=1.5)
06/07 07:25:02 INFO naive.ReasonableBot|Day 0: Initial ucs bid is 0.0
06/07 07:25:02 INFO naive.ReasonableBot|Actually bidding 100
06/07 07:25:02 INFO naive.ReasonableBot|Day 0 : Simulation Status Received
06/07 07:25:02 INFO naive.ReasonableBot|Day 0: Sending BidBundle
06/07 07:25:02 INFO naive.ReasonableBot|Day 0 ended. Starting next day
06/07 07:25:14 INFO naive.ReasonableBot|Day 1 :BankStatus[0.000000]
06/07 07:25:14 INFO naive.ReasonableBot|Day 1: Daily notification for campaign 719340043
06/07 07:25:14 INFO naive.ReasonableBot|Day 1:  WON at cost 0.1. UCS Level set to 1.0 at price 0.0 Quality Score is: 1.0
06/07 07:25:14 INFO naive.ReasonableBot|Day 1: Campaign opportunity - Campaign ID 423699250: day 3 to 5 [HIGH_INCOME, YOUNG], reach: 5000 coefs: (v=2.0, m=1.5)
06/07 07:25:14 INFO naive.ReasonableBot|Day 1: Adjusting ucs bid: was 0.0 level reported: 1.0 target: 0.7 adjusted: 0.0
06/07 07:25:14 INFO naive.ReasonableBot|Actually bidding 100
06/07 07:25:15 INFO naive.ReasonableBot|Day 1 : AdNetworkReport
06/07 07:25:15 INFO naive.ReasonableBot|Day 1 : Simulation Status Received
06/07 07:25:15 INFO naive.ReasonableBot|Day 1: Sending BidBundle
06/07 07:25:15 INFO naive.ReasonableBot|Day 1 ended. Starting next day
06/07 07:25:27 INFO naive.ReasonableBot|Day 2 :BankStatus[-0.000777]
06/07 07:25:27 INFO naive.ReasonableBot|Day 2: Updating campaign 820198133 stats: 626.5 tgtImps 59.5 nonTgtImps. Cost of imps is 7.772169393641214E-4
06/07 07:25:27 INFO naive.ReasonableBot|Day 2: Daily notification for campaign 423699250
06/07 07:25:27 INFO naive.ReasonableBot|campaign was NOT won. new bid:80
06/07 07:25:27 INFO naive.ReasonableBot|Day 2:  allocated to adv8. UCS Level set to 1.0 at price 0.0 Quality Score is: 1.0
