07/07 18:41:01 INFO naive.ReasonableBot|UNKNOWN Message Received: edu.umich.eecs.tac.props.AdvertiserInfo@bc76a1c1
07/07 18:41:02 INFO naive.ReasonableBot|DAY 0 Actually bidding 7463
07/07 18:41:14 INFO naive.ReasonableBot|Day 1 1015483951 days left: 4 target reach: 1250 to go: 1250
07/07 18:41:14 INFO naive.ReasonableBot|DAY 1 Actually bidding 3980
07/07 18:41:23 INFO naive.ReasonableBot|Day 2 1015483951 days left: 4 target reach: 1250 to go: 1250
07/07 18:41:23 INFO naive.ReasonableBot|DAY 2 Actually bidding 3184
07/07 18:41:35 INFO naive.ReasonableBot|Day 3 1015483951 days left: 4 target reach: 1250 to go: 1250
07/07 18:41:35 INFO naive.ReasonableBot|DAY 3 Actually bidding 1273
07/07 18:41:45 INFO naive.ReasonableBot|Day 4 1015483951 days left: 4 target reach: 1250 to go: 1250
07/07 18:41:45 INFO naive.ReasonableBot|DAY 4 Actually bidding 2037
07/07 18:41:53 INFO naive.ReasonableBot|Day 5 1015483951 days left: 4 target reach: 1250 to go: 1250
07/07 18:41:53 INFO naive.ReasonableBot|DAY 5 Actually bidding 2445
07/07 18:42:04 INFO naive.ReasonableBot|DAY 6 WON at cost 4.222
07/07 18:42:04 INFO naive.ReasonableBot|Day 6 1951786006 days left: 4 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250
07/07 18:42:04 INFO naive.ReasonableBot|DAY 6 Actually bidding 815
07/07 18:42:24 INFO naive.ReasonableBot|Day 7 1951786006 days left: 4 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250
07/07 18:42:24 INFO naive.ReasonableBot|DAY 7 Actually bidding 1304
07/07 18:42:30 INFO naive.ReasonableBot|Day 8 1951786006 days left: 4 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250
07/07 18:42:30 INFO naive.ReasonableBot|DAY 8 Actually bidding 1565
07/07 18:42:40 INFO naive.ReasonableBot|Day 9 1951786006 days left: 4 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250
07/07 18:42:40 INFO naive.ReasonableBot|DAY 9 Actually bidding 1252
07/07 18:42:47 INFO naive.ReasonableBot|Day 10 1951786006 days left: 4 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250
07/07 18:42:47 INFO naive.ReasonableBot|DAY 10 Actually bidding 1001
07/07 18:42:52 INFO naive.ReasonableBot|Day 11 1951786006 days left: 4 target reach: 15000 to go: 15000 1015483951 days left: 4 target reach: 1250 to go: 1250
07/07 18:42:52 INFO naive.ReasonableBot|DAY 11 Actually bidding 534
07/07 18:43:05 INFO naive.ReasonableBot|DAY 12 WON at cost 1.454270878109583
07/07 18:43:05 INFO naive.ReasonableBot|Day 12 1951786006 days left: 4 target reach: 15000 to go: 15000 1748374457 days left: 4 target reach: 10000 to go: 10000 1015483951 days left: 4 target reach: 1250 to go: 1250
07/07 18:43:05 INFO naive.ReasonableBot|DAY 12 Actually bidding 267
07/07 18:43:12 INFO naive.ReasonableBot|DAY 13 WON at cost 0.8491557847694929
07/07 18:43:12 INFO naive.ReasonableBot|Day 13 1951786006 days left: 4 target reach: 15000 to go: 15000 1748374457 days left: 4 target reach: 10000 to go: 10000 1531565335 days left: 9 target reach: 5000 to go: 5000 1015483951 days left: 4 target reach: 1250 to go: 1250
07/07 18:43:12 INFO naive.ReasonableBot|DAY 13 Actually bidding 534
07/07 18:43:32 INFO naive.ReasonableBot|DAY 14 WON at cost 2.7046262897731
07/07 18:43:32 INFO naive.ReasonableBot|Day 14 1951786006 days left: 4 target reach: 15000 to go: 15000 1748374457 days left: 4 target reach: 10000 to go: 10000 1531565335 days left: 9 target reach: 5000 to go: 5000 1015483951 days left: 4 target reach: 1250 to go: 1250 1846194125 days left: 2 target reach: 10000 to go: 10000
07/07 18:43:32 INFO naive.ReasonableBot|DAY 14 Actually bidding 267
07/07 18:43:36 INFO naive.ReasonableBot|Day 15 1951786006 days left: 4 target reach: 15000 to go: 15000 1748374457 days left: 4 target reach: 10000 to go: 10000 1531565335 days left: 9 target reach: 5000 to go: 5000 1015483951 days left: 4 target reach: 1250 to go: 1250 1846194125 days left: 2 target reach: 10000 to go: 10000
07/07 18:43:36 INFO naive.ReasonableBot|DAY 15 Actually bidding 427
07/07 18:43:43 INFO naive.ReasonableBot|DAY 16 WON at cost 8.744878450570923
07/07 18:43:43 INFO naive.ReasonableBot|Day 16 1951786006 days left: 4 target reach: 15000 to go: 15000 1748374457 days left: 4 target reach: 10000 to go: 10000 1531565335 days left: 9 target reach: 5000 to go: 5000 1015483951 days left: 4 target reach: 1250 to go: 1250 924990758 days left: 4 target reach: 10000 to go: 10000 1846194125 days left: 2 target reach: 10000 to go: 10000
07/07 18:43:43 INFO naive.ReasonableBot|DAY 16 Actually bidding 213
07/07 18:43:52 INFO naive.ReasonableBot|DAY 17 WON at cost 0.30182745650131065
