25/02 16:02:00 FINE sim.Admin|Log for simulation 215 started
************************************************************
* Log for simulation 215 started
************************************************************


25/02 16:02:00 INFO sim.TACAdxSimulation|TACAA Simulation 215 is setting up...
25/02 16:02:00 INFO sim.TACAdxSimulation|Created Adx Agent
25/02 16:02:00 INFO sim.TACAdxSimulation|Created Demand Agent
25/02 16:02:01 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
25/02 16:02:01 FINE sim.ExternalAgent|Agent1 setup with address adv1
25/02 16:02:01 FINE sim.ExternalAgent|Agent3 setup with address adv2
25/02 16:02:01 FINE sim.ExternalAgent|Agent4 setup with address adv3
25/02 16:02:01 FINE sim.ExternalAgent|Agent5 setup with address adv4
25/02 16:02:01 FINE sim.ExternalAgent|Agent6 setup with address adv5
25/02 16:02:01 FINE sim.ExternalAgent|Agent7 setup with address adv6
25/02 16:02:01 FINE sim.ExternalAgent|Agent8 setup with address adv7
25/02 16:02:01 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
25/02 16:02:01 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
25/02 16:02:01 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
25/02 16:02:01 INFO agents.DemandAgent|setting up...
25/02 16:02:01 FINE agents.DemandAgent|Finished setup
25/02 16:02:02 INFO agents.SampleAdNetwork|UNKNOWN Message Received: edu.umich.eecs.tac.props.AdvertiserInfo@af811c7c
25/02 16:02:02 INFO sim.Simulation|***** START OF TIME 0 *****
25/02 16:02:02 INFO agents.DemandAgent|allocating initial campaigns
25/02 16:02:02 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@228ca8ac
25/02 16:02:02 INFO agents.DemandAgent|allocating initial campaigns
25/02 16:02:02 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@779d9c0d
25/02 16:02:02 INFO agents.DemandAgent|allocating initial campaigns
25/02 16:02:02 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@2354c054
25/02 16:02:02 INFO agents.DemandAgent|allocating initial campaigns
25/02 16:02:02 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@139d115
25/02 16:02:02 INFO agents.DemandAgent|allocating initial campaigns
25/02 16:02:02 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@5883de21
25/02 16:02:02 INFO agents.DemandAgent|allocating initial campaigns
25/02 16:02:02 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@7fb2380e
25/02 16:02:02 INFO agents.DemandAgent|allocating initial campaigns
25/02 16:02:02 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@63f9f0f2
25/02 16:02:02 INFO agents.DemandAgent|allocating initial campaigns
25/02 16:02:02 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@565539d8
25/02 16:02:02 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity..
25/02 16:02:02 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
25/02 16:02:02 INFO agents.SampleAdNetwork|Day 0 :BankStatus[0.000000]
25/02 16:02:02 INFO agents.SampleAdNetwork|tau.tac.adx.report.demand.InitialCampaignMessage[775541541,1250,1,5,[HIGH_INCOME, OLD],2.0,1.5,demand,[]]
25/02 16:02:02 INFO agents.SampleAdNetwork|Day 0: Allocated campaign - Campaign ID 775541541: day 1 to 5  HIGH_INCOME OLD, reach: 1250 coefs: (v=2.0, m=1.5)
25/02 16:02:02 INFO agents.SampleAdNetwork|Day 0: Campaign opportunity - Campaign ID 1677170384: day 2 to 6  MALE YOUNG, reach: 5000 coefs: (v=2.0, m=1.5)
25/02 16:02:02 INFO agents.SampleAdNetwork|Day 0: Campaign total budget bid: 1.788
25/02 16:02:02 INFO agents.SampleAdNetwork|Day 0: Initial ucs bid is 0.15589201107548636
25/02 16:02:02 INFO agents.SampleAdNetwork|Day 0 : Simulation Status Received
25/02 16:02:02 INFO agents.SampleAdNetwork|Day 0: Updated 24 Bid Bundle entries for Campaign id 775541541
25/02 16:02:02 INFO agents.SampleAdNetwork|Day 0: Sending BidBundle
25/02 16:02:02 INFO agents.SampleAdNetwork|Day 0 ended. Starting next day
